source,target,value,year
US,DE,1,1990
CA,US,1,1990
US,KR,1,1991
US,GB,1,1991
US,FR,1,1992
US,DE,1,1992
CN,DE,1,1992
CN,CA,1,1992
DE,PL,1,1992
US,CH,1,1992
US,DE,1,1993
US,GB,1,1993
GB,AU,1,1993
DK,AT,1,1993
DK,CH,1,1993
AT,CH,1,1993
US,RU,1,1993
US,DE,2,1994
HU,US,1,1994
RU,DE,1,1994
US,NZ,1,1994
CA,US,2,1995
US,JP,2,1995
NL,US,1,1995
FR,US,1,1996
SG,US,1,1996
IL,US,1,1996
US,GB,1,1996
CA,US,1,1996
US,JP,1,1996
PE,US,1,1996
BG,US,1,1996
DE,CH,1,1997
CA,US,1,1997
IL,US,1,1997
US,DE,1,1997
CN,DE,1,1997
TW,JP,1,1997
IN,US,1,1997
NL,US,2,1998
SE,GB,1,1998
US,KR,1,1998
US,DE,1,1998
US,FR,1,1998
NL,DE,1,1998
NL,CN,1,1998
DE,CN,1,1998
DE,US,1,1998
CN,US,1,1998
IL,US,1,1998
US,DE,4,1999
US,CH,1,1999
CA,US,1,1999
FR,US,1,1999
US,AT,2,2000
FR,US,1,2000
FR,CH,1,2000
GB,DK,1,2000
IT,AT,1,2000
US,FR,1,2000
US,DE,1,2000
NL,DE,1,2000
US,CH,1,2000
US,GB,1,2000
BG,US,1,2000
US,DE,7,2001
IL,US,4,2001
IL,DE,2,2001
IT,US,1,2001
US,CH,1,2001
BM,US,1,2001
CA,AT,1,2001
CA,US,1,2001
CA,DE,1,2001
US,DE,4,2002
IL,US,2,2002
SE,US,1,2002
CA,GB,1,2002
CA,DE,1,2002
GB,DE,1,2002
US,FR,1,2002
DE,CH,1,2002
FR,DE,1,2002
CA,US,1,2002
US,ES,1,2002
JP,DE,1,2002
DE,AT,1,2002
US,CH,1,2002
US,DE,4,2003
CA,FR,1,2003
US,AT,1,2003
US,GB,1,2003
FR,AT,1,2003
IT,US,1,2003
RU,AU,1,2003
NL,FI,1,2003
CA,US,1,2003
US,DE,5,2004
CA,US,2,2004
US,AT,2,2004
NL,US,1,2004
CA,FR,1,2004
US,BR,1,2004
SE,US,1,2004
SK,US,1,2004
SK,AT,1,2004
US,CH,1,2004
NL,DE,1,2004
CN,US,1,2004
NL,AT,1,2004
DE,AT,1,2004
US,DE,6,2005
US,AT,2,2005
IT,US,2,2005
US,CH,2,2005
US,BR,2,2005
CA,DE,1,2005
CA,GB,1,2005
FI,AT,1,2005
NL,AT,1,2005
NL,FI,1,2005
CH,DE,1,2005
US,HR,1,2005
SE,US,1,2005
HR,AT,1,2005
US,AU,1,2005
CA,US,1,2005
US,FR,1,2005
DE,AT,1,2005
US,GB,4,2006
US,DE,3,2006
CA,GB,2,2006
US,CH,2,2006
US,JP,2,2006
CN,GB,1,2006
CN,US,1,2006
CA,US,1,2006
DE,CH,1,2006
DE,US,1,2006
DE,GB,1,2006
CA,DE,1,2006
FR,US,1,2006
CA,FR,1,2006
US,KR,1,2006
SK,AT,1,2006
NL,US,1,2006
FR,AU,1,2006
NL,FI,1,2006
US,AU,1,2006
ES,AT,1,2006
AT,DE,1,2006
AU,DE,1,2006
US,FR,1,2006
US,DE,11,2007
US,GB,4,2007
US,CH,3,2007
CA,US,3,2007
IN,US,2,2007
NO,AT,2,2007
CN,US,2,2007
CA,AU,1,2007
SE,US,1,2007
SE,FR,1,2007
US,JP,1,2007
CN,JP,1,2007
IN,GB,1,2007
US,KR,1,2007
FR,AU,1,2007
AT,DE,1,2007
CA,FR,1,2007
CA,AT,1,2007
NO,DE,1,2007
CN,AT,1,2007
FI,AT,1,2007
NL,AT,1,2007
NL,FI,1,2007
CH,DE,1,2007
SG,US,1,2007
FR,US,1,2007
US,DE,5,2008
NO,AT,4,2008
CA,US,2,2008
US,AU,2,2008
CN,US,2,2008
US,GB,2,2008
NL,AT,1,2008
CZ,US,1,2008
CZ,GB,1,2008
NL,FI,1,2008
NL,GB,1,2008
RU,DE,1,2008
FI,GB,1,2008
FI,AT,1,2008
GB,AT,1,2008
CN,SG,1,2008
SG,US,1,2008
IE,US,1,2008
US,AT,1,2008
DE,AT,1,2008
HR,AT,1,2008
US,HR,1,2008
NO,HR,1,2008
NO,US,1,2008
IE,DE,1,2008
FR,AU,1,2008
US,FR,1,2008
CN,TW,1,2008
DE,AU,1,2008
DE,US,1,2008
US,BR,1,2008
IL,DE,1,2008
CA,US,4,2009
CN,US,4,2009
US,DE,3,2009
NO,US,2,2009
US,FR,2,2009
US,AT,2,2009
US,BR,1,2009
NL,US,1,2009
ES,DE,1,2009
IT,DE,1,2009
FR,DE,1,2009
FR,AU,1,2009
US,AU,1,2009
AT,CH,1,2009
AT,DE,1,2009
AT,US,1,2009
NL,GB,1,2009
IT,US,1,2009
DE,AT,1,2009
US,GB,1,2009
HR,AT,1,2009
US,HR,1,2009
NO,AT,1,2009
NO,HR,1,2009
CA,DE,1,2009
SG,US,1,2009
CN,SG,1,2009
US,KR,1,2009
FR,US,1,2009
US,DE,5,2010
CN,US,4,2010
CA,US,3,2010
US,AT,2,2010
DE,GB,2,2010
FR,US,2,2010
US,BR,2,2010
NO,AT,1,2010
NO,US,1,2010
NO,HR,1,2010
HR,AT,1,2010
US,HR,1,2010
US,KR,1,2010
SE,DE,1,2010
US,GB,1,2010
CH,AT,1,2010
US,ES,1,2010
SA,US,1,2010
SA,DE,1,2010
CA,FR,1,2010
NL,FR,1,2010
FI,GB,1,2010
AT,GB,1,2010
AT,FI,1,2010
NL,GB,1,2010
NL,FI,1,2010
NL,AT,1,2010
IN,US,1,2010
GB,DE,1,2010
US,FR,1,2010
CN,US,4,2011
NL,FR,2,2011
IT,CH,2,2011
US,DE,2,2011
US,GB,2,2011
CA,US,2,2011
AT,DE,2,2011
IT,US,2,2011
FR,BR,1,2011
CH,AT,1,2011
NL,BR,1,2011
SE,DE,1,2011
CA,DE,1,2011
FI,GB,1,2011
CN,FR,1,2011
FR,US,1,2011
IT,FR,1,2011
IT,DE,1,2011
SA,AT,1,2011
NL,FI,1,2011
AT,GB,1,2011
AT,FI,1,2011
NL,GB,1,2011
NL,AT,1,2011
US,CH,1,2011
US,AU,1,2011
CA,FR,1,2011
NL,DE,1,2011
NO,AT,1,2011
NO,ES,1,2011
BE,CH,1,2011
IT,BE,1,2011
FR,DE,1,2011
US,DE,7,2012
CA,US,5,2012
CN,US,4,2012
US,KR,3,2012
NL,FR,3,2012
FR,GB,2,2012
NL,DE,2,2012
US,GB,2,2012
US,FR,2,2012
NL,GB,1,2012
US,NZ,1,2012
US,AU,1,2012
NZ,AU,1,2012
CA,BR,1,2012
PL,US,1,2012
PL,GB,1,2012
CA,DE,1,2012
US,BR,1,2012
SK,DE,1,2012
US,AT,1,2012
KR,US,1,2012
SA,AT,1,2012
NO,AT,1,2012
GB,AU,1,2012
AT,CH,1,2012
NO,CH,1,2012
KR,GB,1,2012
SA,KR,1,2012
SA,US,1,2012
SE,DE,1,2012
FR,US,1,2012
AT,AU,1,2012
BE,AU,1,2012
BE,AT,1,2012
SE,NZ,1,2012
CA,FR,1,2012
MY,GB,1,2012
KR,DE,1,2012
FR,US,3,2013
US,DE,3,2013
CN,US,3,2013
NO,AT,3,2013
CA,US,2,2013
SG,US,2,2013
US,AT,2,2013
AT,FR,1,2013
GB,AT,1,2013
FI,US,1,2013
CN,SG,1,2013
CA,FR,1,2013
US,GB,1,2013
ZA,DE,1,2013
US,CH,1,2013
CH,AT,1,2013
AT,US,1,2013
CA,AT,1,2013
US,AU,1,2013
US,FR,1,2013
NL,FR,1,2013
NL,US,1,2013
SA,US,1,2013
IN,US,1,2013
CN,NL,1,2013
CN,US,14,2014
US,AT,6,2014
US,DE,5,2014
CA,US,4,2014
FR,DE,3,2014
FR,US,3,2014
AT,DE,2,2014
US,CH,2,2014
CH,DE,2,2014
NO,AT,2,2014
FR,AT,2,2014
US,FR,2,2014
CN,SG,2,2014
CA,FR,2,2014
CN,CH,1,2014
NO,US,1,2014
AR,AT,1,2014
SG,CH,1,2014
SG,US,1,2014
AU,FR,1,2014
AU,DE,1,2014
CH,AT,1,2014
HR,AT,1,2014
US,HR,1,2014
KR,US,1,2014
KR,GB,1,2014
US,GB,1,2014
NO,HR,1,2014
AT,CH,1,2014
DE,AT,1,2014
CH,US,1,2014
AT,US,1,2014
NO,GB,1,2014
FR,CH,1,2014
SE,US,1,2014
SA,DE,1,2014
AT,SA,1,2014
US,KR,1,2014
SA,US,1,2014
FR,DK,1,2014
CA,DK,1,2014
GB,DE,1,2014
NL,DE,1,2014
NL,GB,1,2014
CN,AT,1,2014
US,DE,8,2015
CN,US,5,2015
CA,US,5,2015
US,FR,4,2015
AT,DE,3,2015
US,AT,3,2015
NL,FR,3,2015
US,KR,3,2015
NL,DE,3,2015
NL,US,3,2015
CA,DE,2,2015
CN,GB,2,2015
NO,AT,2,2015
SE,DE,2,2015
US,ES,2,2015
US,BR,2,2015
GB,DE,2,2015
CA,KR,2,2015
FR,DE,1,2015
KR,DE,1,2015
AT,US,1,2015
NO,US,1,2015
NO,HR,1,2015
CA,FR,1,2015
US,HR,1,2015
SE,US,1,2015
CZ,AT,1,2015
KR,US,1,2015
CA,GB,1,2015
SA,US,1,2015
CZ,NO,1,2015
GB,JP,1,2015
IL,US,1,2015
ES,DE,1,2015
US,GB,1,2015
CN,FR,1,2015
CN,NL,1,2015
HR,AT,1,2015
CN,US,11,2016
US,FR,5,2016
US,GB,5,2016
CA,US,4,2016
US,KR,4,2016
US,DE,4,2016
US,BR,3,2016
AT,DE,2,2016
